Zona_Nombre,Zona_Codigo,Family households (families),Married-couple family,"Male householder, no spouse present, family","Female householder, no spouse present, family",Nonfamily households,Households with one or more people under 18 years,Households with one or more people 65 years and over,Average household size,Average family size
Chelsea-Hudson Yards,MN0401,10741,7893,640,2208,25022,3657,7444,1.67,2.67
East Harlem (North),MN1102,12542,4660,1106,6776,15339,7308,7379,2.19,3.31
East Harlem (South),MN1101,12693,5073,1622,5998,13181,5508,8087,2.14,3.08
East Midtown-Turtle Bay,MN0604,9390,8209,249,932,13854,2773,8291,1.78,2.57
East Village,MN0303,9579,5407,969,3203,24112,3528,8141,1.83,2.8
Financial District-Battery Park City,MN0101,9123,7593,478,1052,14542,3970,3061,1.99,2.83
Gramercy,MN0602,4230,3377,348,505,9568,1879,3218,1.71,2.68
Greenwich Village,MN0202,5159,4462,312,385,10362,1798,4382,1.74,2.65
Hamilton Heights-Sugar Hill,MN0903,9673,4808,943,3922,9895,4240,5647,2.62,3.44
Harlem (North),MN1002,17439,6377,2004,9058,19601,8940,9194,2.26,3.3
Harlem (South),MN1001,9524,5253,658,3613,11494,4473,4499,2.25,3.26
Hell's Kitchen,MN0402,9426,6415,994,2017,23976,2481,8280,1.61,2.43
Inwood,MN1203,7992,4172,955,2865,7216,3951,4532,2.51,3.54
Lower East Side,MN0302,9474,5257,822,3395,12159,3254,7328,2.05,3.01
Manhattanville-West Harlem,MN0902,3700,1554,353,1793,4611,2057,2245,2.58,3.86
Midtown South-Flatiron-Union Square,MN0501,4256,3662,120,474,11480,1546,2962,1.65,2.68
Midtown-Times Square,MN0502,3790,3330,111,349,9131,944,3809,1.61,2.56
Morningside Heights,MN0901,5583,3796,502,1285,7011,2368,3902,2.12,2.74
Murray Hill-Kips Bay,MN0603,9014,7261,375,1378,21785,2699,7429,1.7,2.58
SoHo-Little Italy-Hudson Square,MN0201,4243,3346,250,647,7884,1909,2983,1.78,2.56
Stuyvesant Town-Peter Cooper Village,MN0601,4837,3735,446,656,5853,2026,3472,2.05,2.62
Tribeca-Civic Center,MN0102,5258,4516,207,535,4409,2635,1952,2.2,2.76
Upper East Side-Carnegie Hill,MN0802,13650,11844,498,1308,12953,5264,11908,2.01,2.78
Upper East Side-Lenox Hill-Roosevelt Island,MN0801,17476,15494,404,1578,23922,8363,10789,1.87,2.79
Upper East Side-Yorkville,MN0803,17662,14726,700,2236,24694,6516,13617,1.84,2.72
Upper West Side (Central),MN0702,21955,17946,1364,2645,25742,9919,16648,2.03,2.89
Upper West Side-Lincoln Square,MN0701,15027,12018,889,2120,21434,6869,10729,1.81,2.71
Upper West Side-Manhattan Valley,MN0703,11254,7164,1532,2558,11705,4163,9012,2.14,2.86
Washington Heights (North),MN1202,15763,8735,1983,5045,13515,6970,8661,2.53,3.39
Washington Heights (South),MN1201,13822,5568,1341,6913,13951,5576,10199,2.63,3.65
West Village,MN0203,5600,4983,189,428,13291,1538,4441,1.68,2.61
