Zona_Nombre,Zona_Codigo,Population 16 years and over,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force
Chelsea-Hudson Yards,MN0401,56623,42038,42023,39668,2355,15,14585
East Harlem (North),MN1102,51381,29337,29321,26225,3096,16,22044
East Harlem (South),MN1101,49182,27188,27188,24519,2669,0,21994
East Midtown-Turtle Bay,MN0604,37976,26897,26896,25303,1593,1,11079
East Village,MN0303,63253,40237,40223,37987,2236,14,23016
Financial District-Battery Park City,MN0101,42669,35180,35180,33952,1228,0,7489
Gramercy,MN0602,23913,16854,16854,16338,516,0,7059
Greenwich Village,MN0202,29212,19998,19976,18825,1151,22,9214
Hamilton Heights-Sugar Hill,MN0903,45434,31002,30984,27908,3076,18,14432
Harlem (North),MN1002,70709,44020,44016,38571,5445,4,26689
Harlem (South),MN1001,40837,28075,28075,25812,2263,0,12762
Hell's Kitchen,MN0402,51733,37963,37963,35929,2034,0,13770
Inwood,MN1203,31823,21907,21907,20098,1809,0,9916
Lower East Side,MN0302,40677,23201,23171,21667,1504,30,17476
Manhattanville-West Harlem,MN0902,18085,10847,10847,9436,1411,0,7238
Midtown South-Flatiron-Union Square,MN0501,27496,20526,20526,19291,1235,0,6970
Midtown-Times Square,MN0502,20454,14151,14146,13416,730,5,6303
Morningside Heights,MN0901,34703,20010,20010,18130,1880,0,14693
Murray Hill-Kips Bay,MN0603,50375,37378,37378,36180,1198,0,12997
SoHo-Little Italy-Hudson Square,MN0201,20098,14810,14810,14263,547,0,5288
Stuyvesant Town-Peter Cooper Village,MN0601,19394,13281,13281,12725,556,0,6113
Tribeca-Civic Center,MN0102,19520,13823,13823,13453,370,0,5697
Upper East Side-Carnegie Hill,MN0802,46036,28603,28603,27301,1302,0,17433
Upper East Side-Lenox Hill-Roosevelt Island,MN0801,68256,48387,48387,46405,1982,0,19869
Upper East Side-Yorkville,MN0803,70123,48626,48543,46223,2320,83,21497
Upper West Side (Central),MN0702,84372,56717,56717,54496,2221,0,27655
Upper West Side-Lincoln Square,MN0701,58260,40218,40218,37750,2468,0,18042
Upper West Side-Manhattan Valley,MN0703,45157,28889,28792,26640,2152,97,16268
Washington Heights (North),MN1202,64582,44484,44484,39159,5325,0,20098
Washington Heights (South),MN1201,65546,40786,40786,34998,5788,0,24760
West Village,MN0203,30051,23102,23102,21388,1714,0,6949
