Zona_Nombre,Zona_Codigo,Occupied units paying rent,Less than $500,$500 to $999,"$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or more",No rent paid
Chelsea-Hudson Yards,MN0401,26276,1610,2794,1522,2148,2332,12638,407
East Harlem (North),MN1102,24899,4903,4987,3164,3004,1924,1387,479
East Harlem (South),MN1101,23726,5068,4749,2809,2706,971,3325,226
East Midtown-Turtle Bay,MN0604,12435,137,394,927,1664,2044,6425,497
East Village,MN0303,28776,4237,4807,2254,2965,2686,8092,381
Financial District-Battery Park City,MN0101,17675,179,529,378,567,1376,14474,82
Gramercy,MN0602,8096,76,535,848,889,661,4059,300
Greenwich Village,MN0202,9297,129,439,725,1086,1375,4493,179
Hamilton Heights-Sugar Hill,MN0903,16254,830,2107,3154,3030,1616,2108,457
Harlem (North),MN1002,32093,4490,5490,5441,3583,1917,2386,277
Harlem (South),MN1001,15889,2235,2476,1905,1884,1173,3476,533
Hell's Kitchen,MN0402,27983,1352,4259,2535,3926,2777,9638,204
Inwood,MN1203,13366,789,1395,3841,2391,708,495,332
Lower East Side,MN0302,16188,3872,3230,1403,1211,840,2700,81
Manhattanville-West Harlem,MN0902,7584,1268,1454,1238,992,376,822,234
Midtown South-Flatiron-Union Square,MN0501,11007,548,790,636,641,818,6239,81
Midtown-Times Square,MN0502,9103,904,692,373,563,492,5126,214
Morningside Heights,MN0901,9575,989,1081,1882,1559,1013,1879,66
Murray Hill-Kips Bay,MN0603,21565,591,718,1714,2861,2085,11740,229
SoHo-Little Italy-Hudson Square,MN0201,9306,490,757,941,951,790,4101,331
Stuyvesant Town-Peter Cooper Village,MN0601,10639,162,253,2396,1063,681,5485,51
Tribeca-Civic Center,MN0102,5491,219,377,408,359,274,3595,131
Upper East Side-Carnegie Hill,MN0802,10145,134,236,1518,1311,1616,4745,751
Upper East Side-Lenox Hill-Roosevelt Island,MN0801,28947,356,938,2855,5140,4199,13449,466
Upper East Side-Yorkville,MN0803,28688,666,1628,3036,5431,4048,10963,530
Upper West Side (Central),MN0702,29576,761,1828,3771,3107,3273,12747,306
Upper West Side-Lincoln Square,MN0701,21633,946,1320,1817,1936,1365,11517,583
Upper West Side-Manhattan Valley,MN0703,15762,2056,1772,2040,1861,1339,4535,767
Washington Heights (North),MN1202,23235,513,2041,6822,4401,1913,1636,667
Washington Heights (South),MN1201,25399,2304,3417,4988,4540,1793,2064,387
West Village,MN0203,12795,178,810,1013,1469,1647,6571,528
