ID_ZONA,NOMBRE_ZONA,CLUSTER,SCORE_POBLACION_KM2,SCORE_PORCENTAJE_HISPANOS,SCORE_EDAD_MEDIANA,SCORE_INGRESO_MEDIANO_HOGAR,SCORE_TAMANO_HOGAR_PROMEDIO,SCORE_MOVILIDAD_PROMEDIO_DIARIA,SCORE_MOV_CANTIDAD_ESTACIONES,SCORE_DELITO_PROPIEDAD_KM2,SCORE_DELITO_TRANSPORTE_KM2,SCORE_DELITO_OTROS_KM2,SCORE_LUGARES_COMERCIO_KM2,SCORE_LUGARES_OFICINAS_KM2,SCORE_LUGARES_RESIDENCIAL_KM2,SCORE_COMPETENCIA_DIRECTA_KM2,SCORE_COMPETENCIA_INDIRECTA_KM2,SCORE_ALQ_PRECIO_PIE2_ANUAL
MN0101,Financial District-Battery Park City,1,10.11,0.03,0.18,25.0,5.57,61.41,20.0,40.08,10.34,19.51,35.0,7.29,1.22,38.98,5.17,79.86
MN0102,Tribeca-Civic Center,1,0.0,0.19,2.42,25.0,8.81,43.79,12.22,32.91,19.4,13.12,5.61,14.8,0.27,60.16,3.35,60.71
MN0201,SoHo-Little Italy-Hudson Square,1,0.02,0.45,4.66,15.84,2.32,39.92,12.22,18.17,28.47,15.45,14.87,2.41,0.0,54.39,7.23,18.56
MN0202,Greenwich Village,1,15.64,0.0,1.43,23.2,1.7,22.36,7.78,24.54,9.43,12.81,19.15,45.0,0.35,30.8,7.81,75.43
MN0203,West Village,1,6.72,1.6,5.02,22.23,0.77,12.96,5.56,26.94,15.41,17.72,7.66,1.64,0.0,38.98,6.65,0.0
MN0302,Lower East Side,2,13.48,9.16,7.26,2.58,6.49,22.77,5.56,38.7,26.84,7.37,14.87,4.33,18.82,58.24,4.18,69.92
MN0303,East Village,1,23.48,5.69,0.0,5.67,3.09,14.92,3.33,26.72,33.01,14.27,26.18,9.15,15.29,17.81,7.68,57.69
MN0401,Chelsea-Hudson Yards,1,4.61,2.58,4.57,14.65,0.62,51.16,12.22,24.54,26.48,16.08,8.02,1.44,3.45,60.16,3.68,97.43
MN0402,Hell's Kitchen,1,16.03,3.45,4.48,10.99,0.0,7.14,3.33,25.21,0.0,3.96,11.04,5.81,1.92,4.81,5.76,58.58
MN0501,Midtown South-Flatiron-Union Square,3,3.47,0.7,0.99,24.68,0.31,80.0,18.89,0.0,0.0,7.32,19.59,10.95,0.0,14.92,10.0,94.41
MN0502,Midtown-Times Square,3,0.0,0.64,7.8,18.62,0.0,80.0,20.0,0.0,6.53,7.23,35.0,8.57,1.14,0.0,10.0,12.89
MN0601,Stuyvesant Town-Peter Cooper Village,4,27.65,0.69,4.93,20.84,6.49,0.0,0.0,43.78,33.55,18.59,0.0,0.0,20.0,90.0,0.0,49.97
MN0602,Gramercy,1,22.49,0.0,0.99,19.56,1.24,8.94,3.33,25.03,27.2,14.78,13.27,26.54,0.0,15.88,6.61,51.01
MN0603,Murray Hill-Kips Bay,1,21.96,0.75,0.18,17.37,1.08,0.0,0.0,31.04,18.5,14.37,17.72,38.1,4.47,71.71,3.34,18.9
MN0604,East Midtown-Turtle Bay,1,18.39,0.33,10.0,22.51,2.32,28.86,3.33,35.09,13.42,20.0,23.87,45.0,1.8,37.06,8.24,0.25
MN0701,Upper West Side-Lincoln Square,4,30.0,1.03,8.16,21.53,2.78,36.91,5.56,33.62,29.92,17.63,24.49,14.09,6.94,83.74,1.78,68.62
MN0702,Upper West Side (Central),4,27.17,1.77,9.69,20.57,6.19,25.54,5.56,39.95,32.46,18.21,4.81,7.61,10.94,70.75,1.67,73.73
MN0703,Upper West Side-Manhattan Valley,4,27.1,6.28,5.74,9.97,7.89,9.97,5.56,27.48,29.92,14.83,7.48,2.73,9.49,62.57,1.43,34.43
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,4,24.53,0.18,3.41,16.63,3.71,18.22,7.78,44.09,35.0,19.99,3.38,17.62,1.45,58.72,2.23,22.57
MN0802,Upper East Side-Carnegie Hill,4,12.18,0.28,10.0,22.83,5.88,62.36,12.22,27.52,29.56,20.0,4.99,17.04,1.18,89.52,3.0,12.68
MN0803,Upper East Side-Yorkville,4,30.0,1.08,7.26,18.44,3.25,6.01,1.11,36.29,34.09,17.22,0.0,5.3,2.0,53.42,2.69,31.33
MN0901,Morningside Heights,1,8.34,3.68,0.0,7.7,7.58,19.69,5.56,45.0,31.19,17.86,0.71,32.45,4.43,84.22,0.55,89.52
MN0902,Manhattanville-West Harlem,2,4.46,16.6,0.36,0.42,14.69,3.65,3.33,45.0,33.37,8.81,3.83,16.47,5.49,67.86,0.02,100.0
MN0903,Hamilton Heights-Sugar Hill,2,19.54,13.99,3.5,4.31,15.0,10.23,5.56,41.73,31.19,10.88,16.83,0.0,0.24,53.9,0.73,77.94
MN1001,Harlem (South),2,20.73,4.09,3.77,5.29,9.59,16.02,10.0,32.86,11.61,3.42,5.17,10.56,5.45,72.67,0.53,93.47
MN1002,Harlem (North),2,23.66,7.16,3.59,1.24,9.74,3.69,7.78,33.44,33.01,0.0,5.97,4.4,17.8,90.0,0.0,68.62
MN1101,East Harlem (South),2,22.43,11.97,3.32,0.0,7.89,12.87,5.56,31.71,29.2,0.0,2.76,12.68,20.0,29.84,0.85,0.0
MN1102,East Harlem (North),2,8.92,12.53,2.24,0.0,8.66,12.16,3.33,33.93,27.75,1.92,7.04,5.55,13.53,39.95,0.29,74.83
MN1201,Washington Heights (South),2,22.91,20.0,3.86,2.23,15.0,14.21,7.78,38.65,31.55,6.88,0.36,5.62,4.12,16.84,0.41,59.83
MN1202,Washington Heights (North),2,16.59,18.78,5.29,6.09,13.92,12.86,12.22,41.46,35.0,13.15,8.82,3.76,0.0,25.51,0.15,77.94
MN1203,Inwood,2,11.58,20.0,3.95,4.31,13.61,4.23,7.78,44.27,30.47,10.15,2.05,5.17,5.18,0.0,0.33,100.0
